filename,procdump,dropped,processes,files,read_files,write_files,delete_files,keys,read_keys,write_keys,delete_keys,executed_commands,resolved_apis,mutexes,started_services,hosts,domains,tcp,udp,icmp,http,dns,dead_hosts,signatures_count,ttps_count,status
4.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
40.json,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,1,0,0,0,6,3,benign
41.json,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,2,0,0,0,12,7,benign
42.json,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,3,0,0,0,7,4,suspicious
43.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,2,benign
44.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,1,0,0,0,2,2,benign
45.json,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,2,0,0,0,7,3,malicious
46.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,0,0,0,0,2,2,benign
47.json,1,0,7,252,1,1,1,1424,829,38,1,7,0,14,0,0,0,0,0,0,0,0,0,35,18,malicious
48.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,1,0,0,0,2,2,benign
49.json,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,1,0,0,0,7,3,malicious
5.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
50.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,0,0,0,0,0,0,benign
51.json,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,1,0,0,0,5,2,benign
52.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
53.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
54.json,0,0,14,182,1,1,1,1989,1298,5,0,15,0,13,0,0,0,0,0,0,0,0,0,24,14,malicious
55.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
